Hugo Symbol	Entrez Gene ID	GRCh37 Isoform	GRCh37 RefSeq	GRCh38 Isoform	GRCh38 RefSeq	# of occurrence within resources (Column D-J)	OncoKB Annotated	Is Oncogene	Is Tumor Suppressor Gene	MSK-IMPACT	MSK-HEME	FOUNDATION ONE	FOUNDATION ONE HEME	Vogelstein	SANGER CGC(05/30/2017)	Gene Aliases
DROSHA	29102	ENST00000344624	NM_013235.4	ENST00000344624	NM_013235.4	4	Yes	No	No	Yes	Yes	No	No	No	Yes	Etohi2, HSA242976, RN3, RNASE3L, RNASEN
EPAS1	2034	ENST00000263734	NM_001430.4	ENST00000263734	NM_001430.4	4	Yes	No	No	Yes	Yes	No	No	No	Yes	HIF2A, MOP2, PASD2, bHLHe73
EPHA5	2044	ENST00000273854	NM_004439.5	ENST00000273854	NM_004439.5	4	Yes	No	No	Yes	Yes	No	Yes	No	No	CEK7, Hek7
EPHA7	2045	ENST00000369303	NM_004440.3	ENST00000369303	NM_004440.3	4	Yes	Yes	Yes	Yes	Yes	No	Yes	No	No	Hek11
ERCC2	2068	ENST00000391945	NM_000400.3	ENST00000391945	NM_000400.3	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes	EM9, MGC102762, MGC126218, MGC126219, XPD
ERCC3	2071	ENST00000285398	NM_000122.1	ENST00000285398	NM_000122.1	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes	RAD25, XPB
ERCC5	2073	ENST00000355739	NM_000123.3	ENST00000652225	NM_000123.3	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes	ERCM2, XPGC
ERRFI1	54206	ENST00000377482	NM_018948.3	ENST00000377482	NM_018948.3	4	Yes	No	Yes	Yes	Yes	Yes	No	No	No	GENE-33, MIG-6, RALT
ETV4	2118	ENST00000319349	NM_001079675.2	ENST00000319349	NM_001079675.2	4	Yes	Yes	No	No	No	Yes	Yes	No	Yes	E1A-F, E1AF, PEA3
ETV5	2119	ENST00000306376	NM_004454.2	ENST00000306376	NM_004454.2	4	Yes	Yes	No	No	No	Yes	Yes	No	Yes	ERM
EWSR1	2130	ENST00000397938	NM_005243.3	ENST00000397938	NM_005243.3	4	Yes	Yes	No	No	No	Yes	Yes	No	Yes	EWS
FANCD2	2177	ENST00000383807	NM_001018115.1	ENST00000675286	NM_001018115.1	4	Yes	No	Yes	No	Yes	No	Yes	No	Yes	FA-D2, FACD, FANCD
FAT1	2195	ENST00000441802	NM_005245.3	ENST00000441802	NM_005245.3	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes	CDHF7, CDHR8, FAT
FBXO11	80204	ENST00000403359	NM_001190274.1	ENST00000403359	NM_001190274.1	4	Yes	No	Yes	No	Yes	No	Yes	No	Yes	FBX11, UBR6
FOXA1	3169	ENST00000250448	NM_004496.3	ENST00000250448	NM_004496.3	4	Yes	Yes	Yes	Yes	Yes	No	No	No	Yes	HNF3A
GLI1	2735	ENST00000228682	NM_005269.2	ENST00000228682	NM_005269.2	4	Yes	Yes	No	Yes	Yes	No	Yes	No	No	GLI
GNA13	10672	ENST00000439174	NM_006572.5	ENST00000439174	NM_006572.5	4	Yes	Yes	No	No	Yes	Yes	Yes	No	No	G13, MGC46138
H1-2	3006	ENST00000343677	NM_005319.3	ENST00000343677	NM_005319.3	4	Yes	No	No	Yes	Yes	No	Yes	No	No	H1.2, H1F2, H1c, H1s-1, HIST1H1C
H3-3B	3021	ENST00000254810	NM_005324.3	ENST00000254810	NM_005324.3	4	Yes	No	No	Yes	Yes	No	No	No	Yes	H3.3B, H3F3B
HDAC1	3065	ENST00000373548	NM_004964.2	ENST00000373548	NM_004964.2	4	Yes	Yes	No	No	Yes	Yes	Yes	No	No	GON-10, HD1, KDAC1, RPD3L1
HLA-A	3105	ENST00000376809	NM_001242758.1	ENST00000376809	NM_001242758.1	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes	
INHBA	3624	ENST00000242208	NM_002192.2	ENST00000242208	NM_002192.2	4	Yes	Yes	Yes	Yes	Yes	No	Yes	No	No	
LATS1	9113	ENST00000253339	NM_004690.3	ENST00000253339	NM_004690.3	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes	WARTS
LATS2	26524	ENST00000382592	NM_014572.2	ENST00000382592	NM_014572.2	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes	
LYN	4067	ENST00000519728	NM_002350.3	ENST00000519728	NM_002350.3	4	Yes	Yes	No	Yes	Yes	Yes	No	No	No	JTK8
MAF	4094	ENST00000393350	NM_001031804.2	ENST00000393350	NM_001031804.2	4	Yes	No	No	No	No	Yes	Yes	No	Yes	c-MAF
MAP3K14	9020	ENST00000344686	NM_003954.3	ENST00000344686	NM_003954.3	4	Yes	Yes	No	Yes	Yes	No	Yes	No	No	FTDCR1B, HS, HSNIK
MAX	4149	ENST00000358664	NM_002382.4	ENST00000358664	NM_002382.4	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes	bHLHd4, bHLHd5, bHLHd6, bHLHd7, bHLHd8
MLLT1	4298	ENST00000252674	NM_005934.3	ENST00000252674	NM_005934.3	4	Yes	No	No	Yes	No	No	Yes	No	Yes	ENL, LTG19, YEATS1
MST1R	4486	ENST00000296474	NM_002447.2	ENST00000296474	NM_002447.2	4	Yes	Yes	No	Yes	Yes	Yes	No	No	No	CD136, CDw136, PTK8, RON, SEA
MYOD1	4654	ENST00000250003	NM_002478.4	ENST00000250003	NM_002478.4	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes	MYF3, MYOD, bHLHc1
NCOR2	9612	ENST00000405201	NM_006312.6	ENST00000405201	NM_006312.6	4	Yes	No	No	No	Yes	No	Yes	No	Yes	CTG26, SMRT, SMRTE, TNRC14, TRAC-1
NOTCH3	4854	ENST00000263388	NM_000435.2	ENST00000263388	NM_000435.2	4	Yes	Yes	Yes	Yes	Yes	Yes	No	No	No	CADASIL, CASIL
NUP93	9688	ENST00000308159	NM_014669.4	ENST00000308159	NM_014669.4	4	Yes	No	No	Yes	Yes	No	Yes	No	No	KIAA0095
PARP1	142	ENST00000366794	NM_001618.3	ENST00000366794	NM_001618.3	4	Yes	No	Yes	Yes	Yes	Yes	No	No	No	ADPRT, ARTD1, PARP, PPOL
PHOX2B	8929	ENST00000226382	NM_003924.3	ENST00000226382	NM_003924.3	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes	NBPhox, PMX2B
PIK3C2G	5288	ENST00000266497	NM_004570.4	ENST00000433979	NM_004570.4	4	Yes	No	No	Yes	Yes	Yes	No	No	No	
PIK3CG	5294	ENST00000359195	NM_002649.2	ENST00000359195	NM_002649.2	4	Yes	Yes	No	Yes	Yes	No	Yes	No	No	
PIK3R2	5296	ENST00000222254	NM_005027.3	ENST00000222254	NM_005027.3	4	Yes	No	Yes	Yes	Yes	No	Yes	No	No	P85B
PLCG2	5336	ENST00000359376	NM_002661.3	ENST00000564138	NM_002661.3	4	Yes	Yes	No	Yes	Yes	No	Yes	No	No	
PPM1D	8493	ENST00000305921	NM_003620.3	ENST00000305921	NM_003620.3	4	Yes	Yes	No	Yes	Yes	No	No	No	Yes	PP2C-DELTA, Wip1
PPP6C	5537	ENST00000373547	NM_002721.4	ENST00000373547	NM_002721.4	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes	PP6
PREX2	80243	ENST00000288368	NM_024870.2	ENST00000288368	NM_024870.2	4	Yes	No	No	Yes	Yes	No	No	No	Yes	DEP.2, DEPDC2, FLJ12987, P-REX2, PPP1R129
PRKCI	5584	ENST00000295797	NM_002740.5	ENST00000295797	NM_002740.5	4	Yes	Yes	No	Yes	Yes	Yes	No	No	No	DXS1179E, PKCI
PRKN	5071	ENST00000366898	NM_004562.2	ENST00000366898	NM_004562.2	4	Yes	No	Yes	Yes	Yes	Yes	No	No	No	AR-JP, PARK2, PDJ, parkin
PTPRT	11122	ENST00000373198	NM_133170.3	ENST00000373198	NM_133170.3	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes	KIAA0283, RPTPrho
RAD50	10111	ENST00000265335	NM_005732.3	ENST00000378823	NM_005732.3	4	Yes	No	Yes	Yes	Yes	No	Yes	No	No	RAD50-2, hRad50
RAD51C	5889	ENST00000337432	NM_058216.2	ENST00000337432	NM_058216.2	4	Yes	No	Yes	Yes	Yes	Yes	No	No	No	FANCO, RAD51L2
RAD51D	5892	ENST00000345365	NM_002878.3	ENST00000345365	NM_002878.3	4	Yes	No	Yes	Yes	Yes	Yes	No	No	No	HsTRAD, R51H3, RAD51L3, Trad
RAD52	5893	ENST00000358495	NM_134424.2	ENST00000358495	NM_134424.2	4	Yes	No	No	Yes	Yes	Yes	No	No	No	
RAD54L	8438	ENST00000371975	NM_001142548.1	ENST00000371975	NM_001142548.1	4	Yes	No	No	Yes	Yes	Yes	No	No	No	RAD54A, hHR54, hRAD54
RECQL4	9401	ENST00000428558	NM_004260.3	ENST00000617875	NM_004260.3	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes	RecQ4
RUNX1T1	862	ENST00000265814	NM_001198626.1	ENST00000265814	NM_001198626.1	4	Yes	Yes	No	No	Yes	No	Yes	No	Yes	AML1T1, CBFA2T1, ETO, MTG8, ZMYND2
SDHAF2	54949	ENST00000301761	NM_017841.2	ENST00000301761	NM_017841.2	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes	C11orf79, FLJ20487, PGL2, SDH5
SGK1	6446	ENST00000237305	NM_005627.3	ENST00000237305	NM_005627.3	4	Yes	Yes	No	No	Yes	Yes	Yes	No	No	SGK
SH2B3	10019	ENST00000341259	NM_005475.2	ENST00000341259	NM_005475.2	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes	IDDM20, LNK
SMAD3	4088	ENST00000327367	NM_005902.3	ENST00000327367	NM_005902.3	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes	HsT17436, JV15-2, MADH3
SMARCD1	6602	ENST00000394963	NM_003076.4	ENST00000394963	NM_003076.4	4	Yes	No	No	Yes	Yes	No	No	No	Yes	BAF60A, CRACD1, Rsc6p
STAT5A	6776	ENST00000345506	NM_003152.3	ENST00000345506	NM_003152.3	4	Yes	Yes	No	Yes	Yes	No	Yes	No	No	STAT5
STAT6	6778	ENST00000300134	NM_001178078.1	ENST00000300134	NM_001178078.1	4	Yes	Yes	No	No	Yes	No	Yes	No	Yes	D12S1644, IL-4-STAT
TBL1XR1	79718	ENST00000430069	NM_024665.4	ENST00000430069	NM_024665.4	4	Yes	No	Yes	No	Yes	No	Yes	No	Yes	C21, DC42, FLJ12894, IRA1, TBLR1
TCF7L2	6934	ENST00000543371	NM_001146274.1	ENST00000627217	NM_001146274.1	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes	TCF-4
TEK	7010	ENST00000380036	NM_000459.3	ENST00000380036	NM_000459.3	4	Yes	No	No	Yes	Yes	Yes	No	No	No	CD202b, TIE-2, TIE2, VMCM, VMCM1
TMEM127	55654	ENST00000258439	NM_001193304.2	ENST00000258439	NM_001193304.2	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes	FLJ20507, FLJ22257
TRAF2	7186	ENST00000247668	NM_021138.3	ENST00000247668	NM_021138.3	4	Yes	No	No	Yes	Yes	No	Yes	No	No	RNF117, TRAP3
VEGFA	7422	ENST00000523873	NM_001171623.1	ENST00000523873	NM_001171623.1	4	Yes	Yes	No	Yes	Yes	Yes	No	No	No	VEGF, VEGF-A, VPF
WWTR1	25937	ENST00000360632	NM_001168280.1	ENST00000360632	NM_001168280.1	4	Yes	Yes	No	Yes	Yes	No	No	No	Yes	DKFZp586I1419
XRCC2	7516	ENST00000359321	NM_005431.1	ENST00000359321	NM_005431.1	4	Yes	No	Yes	Yes	Yes	Yes	No	No	No	FANCU
ZFHX3	463	ENST00000268489	NM_006885.3	ENST00000268489	NM_006885.3	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes	ATBF1, C16orf47, FLJ26184, ZNF927
ABL2	27	ENST00000502732	NM_007314.3	ENST00000502732	NM_007314.3	3	Yes	Yes	No	No	No	No	Yes	No	Yes	ABLL
ABRAXAS1	84142	ENST00000321945	NM_139076.2	ENST00000321945	NM_139076.2	3	Yes	No	Yes	Yes	Yes	No	No	No	No	ABRA1, ABRAXAS, CCDC98, FAM175A, FLJ13614
AFF4	27125	ENST00000265343	NM_014423	ENST00000265343	NM_014423	3	Yes	Yes	No	No	No	No	Yes	No	Yes	AF5Q31, MCEF
AGO2	27161	ENST00000220592	NM_012154.3	ENST00000220592	NM_012154.3	3	Yes	No	No	Yes	Yes	No	No	No	No	CASC7, EIF2C2, LINC00980, Q10, hAGO2
ANKRD11	29123	ENST00000301030	NM_013275.5	ENST00000301030	NM_013275.5	3	Yes	No	Yes	Yes	Yes	No	No	No	No	LZ16, T13
ARID5B	84159	ENST00000279873	NM_032199.2	ENST00000279873	NM_032199.2	3	Yes	No	Yes	Yes	Yes	No	No	No	No	FLJ21150, MRF2
ASXL2	55252	ENST00000435504	NM_018263.4	ENST00000435504	NM_018263.4	3	Yes	No	Yes	Yes	Yes	No	No	No	No	ASXH2, FLJ10898, KIAA1685
ATF1	466	ENST00000262053	NM_005171.4	ENST00000262053	NM_005171.4	3	Yes	Yes	No	No	No	No	Yes	No	Yes	TREB36
BABAM1	29086	ENST00000359435	NM_001033549.1	ENST00000359435	NM_001033549.1	3	Yes	No	No	Yes	Yes	No	No	No	No	C19orf62, FLJ20571, HSPC142, MERIT40, NBA1
BBC3	27113	ENST00000449228	NM_001127240.2	ENST00000449228	NM_001127240.2	3	Yes	No	Yes	Yes	Yes	No	No	No	No	JFY1, PUMA
BCL2L11	10018	ENST00000393256	NM_138621.4	ENST00000393256	NM_138621.4	3	Yes	No	Yes	Yes	Yes	No	No	No	No	BIM, BOD, BimEL, BimL, BimS
BCL3	602	ENST00000164227	NM_005178	ENST00000164227	NM_005178	3	Yes	Yes	No	No	No	No	Yes	No	Yes	BCL4, D19S37
BCL9	607	ENST00000234739	NM_004326.3	ENST00000234739	NM_004326.3	3	Yes	Yes	No	No	No	No	Yes	No	Yes	
BTG2	7832	ENST00000290551	NM_006763	ENST00000290551	NM_006763	3	Yes	No	Yes	No	No	Yes	Yes	No	No	APRO1, MGC126063, MGC126064, TIS21
CARM1	10498	ENST00000327064	NM_199141.1	ENST00000327064	NM_199141.1	3	Yes	No	No	Yes	Yes	No	No	No	No	PRMT4
CCNQ	92002	ENST00000576892	NM_152274.4	ENST00000576892	NM_152274.4	3	Yes	No	Yes	Yes	Yes	No	No	No	No	CycM, FAM58A
CD276	80381	ENST00000318443	NM_001024736.1	ENST00000318443	NM_001024736.1	3	Yes	Yes	No	Yes	Yes	No	No	No	No	B7-H3, B7H3, B7RP-2
CD58	965	ENST00000369489	NM_001779.2	ENST00000369489	NM_001779.2	3	Yes	No	Yes	No	Yes	No	Yes	No	No	LFA3
CDC42	998	ENST00000344548	NM_001791.3	ENST00000344548	NM_001791.3	3	Yes	Yes	No	Yes	Yes	No	No	No	No	CDC42Hs, G25K
CENPA	1058	ENST00000335756	NM_001809.3	ENST00000335756	NM_001809.3	3	Yes	No	No	Yes	Yes	No	No	No	No	CENP-A, CenH3
COP1	64326	ENST00000367669	NM_022457.5	ENST00000367669	NM_022457.5	3	Yes	Yes	No	Yes	Yes	No	No	No	No	CFAP78, FAP78, FLJ10416, RFWD2, RNF200
CSDE1	7812	ENST00000438362	NM_001242891.1	ENST00000438362	NM_001242891.1	3	Yes	No	No	Yes	Yes	No	No	No	No	D1S155E
CTLA4	1493	ENST00000302823	NM_005214.4	ENST00000648405	NM_005214.4	3	Yes	Yes	No	Yes	Yes	No	No	No	No	CD152, CELIAC3, CTLA-4, GSE, IDDM12
CYSLTR2	57105	ENST00000282018	NM_020377.2	ENST00000282018	NM_020377.2	3	Yes	Yes	No	Yes	Yes	No	No	No	No	CYSLT2R, CysLT(2)
DCUN1D1	54165	ENST00000292782	NM_020640.2	ENST00000292782	NM_020640.2	3	Yes	Yes	No	Yes	Yes	No	No	No	No	DCUN1L1, RP42, SCCRO, SCRO, Tes3
DDIT3	1649	ENST00000346473	NM_001195057.1	ENST00000346473	NM_001195057.1	3	Yes	No	No	No	No	No	Yes	No	Yes	CHOP, CHOP10, GADD153
DEK	7913	ENST00000397239	NM_003472.3	ENST00000652689	NM_003472.3	3	Yes	Yes	No	No	No	No	Yes	No	Yes	D6S231E
DNMT3B	1789	ENST00000328111	NM_006892.3	ENST00000328111	NM_006892.3	3	Yes	No	Yes	Yes	Yes	No	No	No	No	
DTX1	1840	ENST00000257600	NM_004416.2	ENST00000257600	NM_004416.2	3	Yes	No	Yes	No	Yes	No	Yes	No	No	RNF140, hDx-1
DUSP22	56940	ENST00000344450	NM_020185.4	ENST00000344450	NM_020185.4	3	Yes	No	Yes	No	Yes	No	Yes	No	No	JKAP, JSP1, MKPX, VHX
DUSP4	1846	ENST00000240100	NM_001394.6	ENST00000240100	NM_001394.6	3	Yes	No	Yes	Yes	Yes	No	No	No	No	HVH2, MKP-2, TYP
E2F3	1871	ENST00000346618	NM_001949.4	ENST00000346618	NM_001949.4	3	Yes	Yes	No	Yes	Yes	No	No	No	No	
EGFL7	51162	ENST00000308874	NM_201446.2	ENST00000308874	NM_201446.2	3	Yes	Yes	No	Yes	Yes	No	No	No	No	ZNEU1
EIF1AX	1964	ENST00000379607	NM_001412.3	ENST00000379607	NM_001412.3	3	Yes	No	No	Yes	Yes	No	No	No	No	EIF1A, EIF4C, eIF-1A, eIF-4C
EIF4E	1977	ENST00000280892	NM_001130678.1	ENST00000280892	NM_001130678.1	3	Yes	Yes	No	Yes	Yes	No	No	No	No	EIF4E1, EIF4EL1, EIF4F
ELF3	1999	ENST00000359651	NM_004433.4	ENST00000359651	NM_004433.4	3	Yes	Yes	Yes	Yes	Yes	No	No	No	No	EPR-1, ERT, ESE-1, ESX
ELOC	6921	ENST00000284811	NM_005648.3	ENST00000284811	NM_005648.3	3	Yes	No	No	Yes	Yes	No	No	No	No	TCEB1
EPCAM	4072	ENST00000263735	NM_002354.2	ENST00000263735	NM_002354.2	3	Yes	No	Yes	Yes	Yes	No	No	No	No	17-1A, 323/A3, CD326, CO-17A, EGP-2, EGP34, EGP40, Ep-CAM, GA733-2, HEA125, KS1/4, KSA, Ly74, M4S1, MH99, MIC18, MK-1, MOC31, TACST-1, TACSTD1, TROP1
ERF	2077	ENST00000222329	NM_006494.2	ENST00000222329	NM_006494.2	3	Yes	No	Yes	Yes	Yes	No	No	No	No	PE-2, PE2
ETNK1	55500	ENST00000266517	NM_018638.4	ENST00000671733	NM_018638.4	3	Yes	No	No	No	Yes	No	No	No	Yes	EKI, EKI1
EZH1	2145	ENST00000428826	NM_001991.3	ENST00000428826	NM_001991.3	3	Yes	Yes	No	Yes	Yes	No	No	No	No	KIAA0388, KMT6B
FANCG	2189					3	No	No	No	No	No	Yes	Yes	No	Yes	FAG, XRCC9
FANCL	55120	ENST00000233741	NM_018062.3	ENST00000233741	NM_018062.3	3	Yes	No	Yes	No	No	Yes	Yes	No	No	FAAP43, FLJ10335, PHF9, Pog
FEV	54738	ENST00000295727	NM_017521.2	ENST00000295727	NM_017521.2	3	Yes	No	No	No	No	No	Yes	No	Yes	Pet-1
FLI1	2313	ENST00000527786	NM_002017.4	ENST00000527786	NM_002017.4	3	Yes	Yes	No	No	No	No	Yes	No	Yes	SIC-1
FUS	2521	ENST00000254108	NM_004960	ENST00000254108	NM_004960	3	Yes	Yes	No	No	No	No	Yes	No	Yes	ALS6, HNRNPP2, TLS, hnRNP-P2
FYN	2534	ENST00000368678	NM_153047.3	ENST00000368678	NM_153047.3	3	Yes	Yes	No	Yes	Yes	No	No	No	No	MGC45350
GNA12	2768	ENST00000275364	NM_007353.2	ENST00000275364	NM_007353.2	3	Yes	Yes	No	No	Yes	No	Yes	No	No	gep
GNB1	2782	ENST00000378609	NM_001282539.1	ENST00000378609	NM_001282539.1	3	Yes	Yes	No	Yes	Yes	No	No	No	No	
GPS2	2874	ENST00000380728	NM_004489.4	ENST00000380728	NM_004489.4	3	Yes	No	Yes	Yes	Yes	No	No	No	No	
GREM1	26585	ENST00000300177	NM_013372.6	ENST00000300177	NM_013372.6	3	Yes	Yes	No	Yes	Yes	No	No	No	No	CKTSF1B1, CRAC1, DAND2, DRM, HMPS, gremlin
H1-3	3007	ENST00000244534	NM_005320.2	ENST00000244534	NM_005320.2	3	Yes	No	Yes	No	Yes	No	Yes	No	No	H1.3, H1F3, H1d, H1s-2, HIST1H1D
H1-4	3008	ENST00000304218	NM_005321.2	ENST00000304218	NM_005321.2	3	Yes	Yes	No	No	Yes	No	Yes	No	No	H1.4, H1F4, H1e, H1s-4, HIST1H1E
H2AC11	8969	ENST00000358739	NM_003509.2	ENST00000358739	NM_003509.2	3	Yes	No	No	No	Yes	No	Yes	No	No	H2A.1b, H2A/p, H2AFP, HIST1H2AG
H2AC16	8332	ENST00000357320	NM_003511	ENST00000613174	NM_003511	3	Yes	No	No	No	Yes	No	Yes	No	No	H2A/i, H2AFI, HIST1H2AL, dJ193B12.9
H2AC17	8336	ENST00000359611	NM_003514	ENST00000359611	NM_003514	3	Yes	Yes	No	No	Yes	No	Yes	No	No	H2A.1, H2A/n, H2AFN, HIST1H2AM
H2AC6	8334	ENST00000314088	NM_003512.3	ENST00000314088	NM_003512.3	3	Yes	No	No	No	Yes	No	Yes	No	No	H2AFL, HIST1H2AC
H2BC11	8970	ENST00000339812	NM_021058.3	ENST00000339812	NM_021058.3	3	Yes	No	No	No	Yes	No	Yes	No	No	H2B/r, H2BFR, HIST1H2BJ
H2BC12	85236	ENST00000356950	NM_080593.2	ENST00000356950	NM_080593.2	3	Yes	No	No	No	Yes	No	Yes	No	No	H2BFAiii, H2BFT, HIST1H2BK
H2BC17	8348			ENST00000616182		3	Yes	No	No	No	Yes	No	Yes	No	No	H2B.2, H2B/n, H2BFN, HIST1H2BO
H2BC4	8347	ENST00000314332	NM_003518.3	ENST00000314332	NM_003518.3	3	Yes	No	No	No	Yes	No	Yes	No	No	H2B/l, H2BFL, HIST1H2BC
H2BC5	3017	ENST00000289316	NM_021063.3	ENST00000289316	NM_021063.3	3	Yes	No	No	Yes	Yes	No	No	No	No	H2B/b, H2BFB, HIST1H2BD
H3-4	8290	ENST00000366696	NM_003493.2	ENST00000366696	NM_003493.2	3	Yes	No	No	Yes	Yes	No	No	No	No	H3.4, H3/g, H3FT, H3t, HIST3H3
H3-5	440093	ENST00000340398	NM_001013699.2	ENST00000340398	NM_001013699.2	3	Yes	No	No	Yes	Yes	No	No	No	No	H3.5, H3F3C
H3C1	8350	ENST00000357647	NM_003529.2	ENST00000613854	NM_003529.2	3	Yes	No	No	Yes	Yes	No	No	No	No	H3/A, H3FA, HIST1H3A
H3C10	8357	ENST00000369163	NM_003536.2	ENST00000369163	NM_003536.2	3	Yes	No	No	Yes	Yes	No	No	No	No	H3/k, H3F1K, H3FK, HIST1H3H
H3C11	8354	ENST00000328488	NM_003533.2	ENST00000616365	NM_003533.2	3	Yes	No	No	Yes	Yes	No	No	No	No	H3.f, H3/f, H3FF, HIST1H3I
H3C12	8356	ENST00000359303	NM_003535.2	ENST00000359303	NM_003535.2	3	Yes	No	No	Yes	Yes	No	No	No	No	H3/j, H3FJ, HIST1H3J
H3C13	653604	ENST00000331491	NM_001123375.2	ENST00000331491	NM_001123375.2	3	Yes	No	No	Yes	Yes	No	No	No	No	HIST2H3D
H3C14	126961	ENST00000369158	NM_021059.2	ENST00000369158	NM_021059.2	3	Yes	No	No	Yes	Yes	No	No	No	No	H3, H3.2, H3/M, H3/m, H3F2, H3FM, HIST2H3C, MGC9629
H3C3	8352	ENST00000540144	NM_003531.2	ENST00000612966	NM_003531.2	3	Yes	No	No	Yes	Yes	No	No	No	No	H3/c, H3FC, HIST1H3C
H3C4	8351	ENST00000356476	NM_003530.4	ENST00000356476	NM_003530.4	3	Yes	No	No	Yes	Yes	No	No	No	No	H3/b, H3FB, HIST1H3D
H3C6	8353	ENST00000360408	NM_003532.2	ENST00000634733	NM_003532.2	3	Yes	No	No	Yes	Yes	No	No	No	No	H3.1, H3/d, H3FD, HIST1H3E
H3C7	8968	ENST00000446824	NM_021018.2	ENST00000618052	NM_021018.2	3	Yes	No	No	Yes	Yes	No	No	No	No	H3/i, H3FI, HIST1H3F
H3C8	8355	ENST00000305910	NM_003534.2	ENST00000614378	NM_003534.2	3	Yes	No	No	Yes	Yes	No	No	No	No	H3/h, H3FH, HIST1H3G
HDAC4	9759	ENST00000345617	NM_006037.3	ENST00000345617	NM_006037.3	3	Yes	Yes	Yes	No	Yes	No	Yes	No	No	BDMR, HA6116, HD4, HDAC-4, HDAC-A, HDACA, KIAA0288
HDAC7	51564	ENST00000427332	XM_011538481.1	ENST00000427332	XM_011538481.1	3	Yes	Yes	No	No	Yes	No	Yes	No	No	DKFZP586J0917, HDAC7A
HIF1A	3091	ENST00000337138	NM_001530.3	ENST00000337138	NM_001530.3	3	Yes	Yes	No	No	Yes	No	No	No	Yes	HIF-1alpha, HIF1, MOP1, PASD8, bHLHe78
HLA-B	3106	ENST00000412585	NM_005514.6	ENST00000412585	NM_005514.6	3	Yes	No	Yes	Yes	Yes	No	No	No	No	AS
HMGA1	3159	ENST00000311487	NM_145899	ENST00000311487	NM_145899	3	Yes	Yes	No	No	No	No	Yes	No	Yes	HMGIY
HMGA2	8091	ENST00000403681	NM_003483	ENST00000403681	NM_003483	3	Yes	Yes	No	No	No	No	Yes	No	Yes	BABL, HMGIC, LIPO
HOXB13	10481	ENST00000290295	NM_006361.5	ENST00000290295	NM_006361.5	3	Yes	Yes	Yes	Yes	Yes	No	No	No	No	
ICOSLG	23308	ENST00000407780	NM_015259.4	ENST00000407780	NM_015259.4	3	Yes	Yes	No	Yes	Yes	No	No	No	No	B7-H2, B7H2, B7RP-1, B7RP1, B7h, CD275, GL50, ICOS-L, ICOSL, KIAA0653
IFNGR1	3459	ENST00000367739	NM_000416.2	ENST00000367739	NM_000416.2	3	Yes	No	Yes	Yes	Yes	No	No	No	No	CD119, IFNGR
IGF1	3479	ENST00000307046	NM_001111285.1	ENST00000307046	NM_001111285.1	3	Yes	Yes	No	Yes	Yes	No	No	No	No	IGF, IGF-I, IGF1A, IGFI
IGF2	3481	ENST00000434045	NM_001127598.1	ENST00000434045	NM_001127598.1	3	Yes	Yes	No	Yes	Yes	No	No	No	No	C11orf43, FLJ44734, IGF-II
IKZF3	22806	ENST00000346872	NM_012481.4	ENST00000346872	NM_012481.4	3	Yes	Yes	Yes	No	Yes	No	Yes	No	No	Aiolos, ZNFN1A3
IL10	3586	ENST00000423557	NM_000572.2	ENST00000423557	NM_000572.2	3	Yes	No	No	Yes	Yes	No	No	No	No	CSIF, IL-10, IL10A
INHA	3623	ENST00000243786	NM_002191.3	ENST00000243786	NM_002191.3	3	Yes	No	Yes	Yes	Yes	No	No	No	No	
INPP4A	3631	ENST00000074304	NM_001134224.1	ENST00000074304	NM_001134224.1	3	Yes	No	No	Yes	Yes	No	No	No	No	INPP4
INPPL1	3636	ENST00000298229	NM_001567.3	ENST00000298229	NM_001567.3	3	Yes	No	Yes	Yes	Yes	No	No	No	No	SHIP2
INSR	3643	ENST00000302850	NM_000208.2	ENST00000302850	NM_000208.2	3	Yes	Yes	No	Yes	Yes	No	No	No	No	CD220
IRF1	3659	ENST00000245414	NM_002198.2	ENST00000245414	NM_002198.2	3	Yes	No	Yes	No	Yes	No	Yes	No	No	MAR
IRF8	3394	ENST00000268638	NM_002163.2	ENST00000268638	NM_002163.2	3	Yes	No	Yes	No	Yes	No	Yes	No	No	ICSBP, ICSBP1, IRF-8
IRS1	3667	ENST00000305123	NM_005544.2	ENST00000305123	NM_005544.2	3	Yes	Yes	No	Yes	Yes	No	No	No	No	HIRS-1
